id,place,type
155,60,1
145,79,1
149,80,1
152,94,1
148,109,1
151,115,1
154,126,1
146,159,1
147,179,1
157,190,1
156,194,1
2,195,1
153,203,1
1,225,1
3,227,1
5,228,1
6,229,1
142,230,1
143,231,1
144,232,1
4,225,2
8,51,3
7,54,3
9,56,3
10,57,3
11,58,3
12,59,3
14,61,3
15,63,3
17,64,3
18,65,3
16,66,3
19,67,3
20,68,3
21,69,3
22,70,3
23,71,3
24,72,3
25,74,3
26,75,3
28,76,3
33,77,3
90,78,3
40,79,3
41,81,3
36,82,3
43,83,3
42,84,3
45,85,3
44,86,3
48,87,3
49,88,3
50,89,3
51,93,3
52,96,3
55,98,3
53,100,3
57,101,3
58,102,3
59,103,3
60,104,3
61,105,3
62,106,3
34,107,3
39,108,3
64,109,3
65,110,3
67,111,3
66,112,3
68,113,3
70,115,3
69,116,3
139,119,3
118,120,3
119,122,3
71,123,3
29,124,3
30,125,3
31,126,3
107,127,3
72,128,3
73,129,3
35,130,3
37,131,3
38,132,3
74,134,3
75,136,3
78,138,3
77,139,3
79,140,3
80,141,3
81,142,3
76,143,3
82,144,3
63,146,3
83,147,3
85,148,3
84,149,3
86,150,3
91,151,3
87,152,3
88,153,3
89,155,3
92,156,3
27,157,3
93,158,3
54,159,3
94,160,3
96,161,3
97,162,3
95,163,3
98,165,3
99,168,3
100,169,3
101,171,3
102,172,3
103,173,3
104,174,3
105,176,3
106,178,3
13,179,3
47,180,3
108,181,3
109,182,3
110,183,3
56,184,3
46,185,3
111,186,3
112,187,3
114,189,3
115,190,3
116,191,3
117,192,3
135,193,3
136,195,3
113,196,3
32,197,3
122,198,3
123,199,3
124,200,3
120,203,3
121,204,3
125,205,3
126,206,3
127,207,3
128,209,3
129,211,3
130,212,3
131,213,3
132,214,3
133,215,3
134,216,3
137,217,3
138,218,3
140,222,3
141,224,3
150,225,4
